sample_id,condition,batch,patient_id,timepoint,gene,count
S01,treated,batch1,P014,T0,GENE_0351,37
S01,treated,batch1,P014,T0,GENE_0137,20
S01,treated,batch1,P014,T0,GENE_0274,2
S01,treated,batch1,P014,T0,GENE_0120,51
S01,treated,batch1,P014,T0,GENE_0152,2
S01,treated,batch1,P014,T0,GENE_0250,14
S01,treated,batch1,P014,T0,GENE_0326,8
S01,treated,batch1,P014,T0,GENE_0386,11
S01,treated,batch1,P014,T0,GENE_0052,17
S01,treated,batch1,P014,T0,GENE_0398,13
S01,treated,batch1,P014,T0,GENE_0365,23
S01,treated,batch1,P014,T0,GENE_0281,51
S01,treated,batch1,P014,T0,GENE_0440,30
S01,treated,batch1,P014,T0,GENE_0202,6
S01,treated,batch1,P014,T0,GENE_0134,29
S01,treated,batch1,P014,T0,GENE_0027,38
S01,treated,batch1,P014,T0,GENE_0460,2
S01,treated,batch1,P014,T0,GENE_0247,10
S01,treated,batch1,P014,T0,GENE_0231,18
S01,treated,batch1,P014,T0,GENE_0061,6
S01,treated,batch1,P014,T0,GENE_0286,39
S01,treated,batch1,P014,T0,GENE_0162,23
S01,treated,batch1,P014,T0,GENE_0270,16
S01,treated,batch1,P014,T0,GENE_0157,8
S01,treated,batch1,P014,T0,GENE_0315,24
S01,treated,batch1,P014,T0,GENE_0062,4
S01,treated,batch1,P014,T0,GENE_0244,0
S01,treated,batch1,P014,T0,GENE_0123,52
S01,treated,batch1,P014,T0,GENE_0470,5
S01,treated,batch1,P014,T0,GENE_0462,3
S01,treated,batch1,P014,T0,GENE_0284,1
S01,treated,batch1,P014,T0,GENE_0025,5
S01,treated,batch1,P014,T0,GENE_0221,8
S01,treated,batch1,P014,T0,GENE_0189,82
S01,treated,batch1,P014,T0,GENE_0334,32
S01,treated,batch1,P014,T0,GENE_0000,5
S01,treated,batch1,P014,T0,GENE_0259,141
S01,treated,batch1,P014,T0,GENE_0117,28
S01,treated,batch1,P014,T0,GENE_0480,13
S01,treated,batch1,P014,T0,GENE_0010,3
S01,treated,batch1,P014,T0,GENE_0099,107
S01,treated,batch1,P014,T0,GENE_0449,2
S01,treated,batch1,P014,T0,GENE_0149,1
S01,treated,batch1,P014,T0,GENE_0165,44
S01,treated,batch1,P014,T0,GENE_0262,99
S01,treated,batch1,P014,T0,GENE_0407,69
S01,treated,batch1,P014,T0,GENE_0388,31
S01,treated,batch1,P014,T0,GENE_0443,33
S01,treated,batch1,P014,T0,GENE_0127,28
S01,treated,batch1,P014,T0,GENE_0055,48
S01,treated,batch1,P014,T0,GENE_0363,11
S01,treated,batch1,P014,T0,GENE_0455,7
S01,treated,batch1,P014,T0,GENE_0145,13
S01,treated,batch1,P014,T0,GENE_0346,4
S01,treated,batch1,P014,T0,GENE_0436,7
S01,treated,batch1,P014,T0,GENE_0168,2
S01,treated,batch1,P014,T0,GENE_0288,11
S01,treated,batch1,P014,T0,GENE_0252,7
S01,treated,batch1,P014,T0,GENE_0142,6
S01,treated,batch1,P014,T0,GENE_0089,17
S01,treated,batch1,P014,T0,GENE_0051,53
S01,treated,batch1,P014,T0,GENE_0413,37
S01,treated,batch1,P014,T0,GENE_0177,3
S01,treated,batch1,P014,T0,GENE_0240,7
S01,treated,batch1,P014,T0,GENE_0478,26
S01,treated,batch1,P014,T0,GENE_0186,5
S01,treated,batch1,P014,T0,GENE_0088,37
S01,treated,batch1,P014,T0,GENE_0439,64
S01,treated,batch1,P014,T0,GENE_0344,10
S01,treated,batch1,P014,T0,GENE_0007,13
S01,treated,batch1,P014,T0,GENE_0411,5
S01,treated,batch1,P014,T0,GENE_0105,4
S01,treated,batch1,P014,T0,GENE_0429,16
S01,treated,batch1,P014,T0,GENE_0256,0
S01,treated,batch1,P014,T0,GENE_0394,18
S01,treated,batch1,P014,T0,GENE_0140,13
S01,treated,batch1,P014,T0,GENE_0203,19
S01,treated,batch1,P014,T0,GENE_0098,15
S01,treated,batch1,P014,T0,GENE_0376,87
S01,treated,batch1,P014,T0,GENE_0064,8
S01,treated,batch1,P014,T0,GENE_0497,6
S01,treated,batch1,P014,T0,GENE_0481,17
S01,treated,batch1,P014,T0,GENE_0498,13
S01,treated,batch1,P014,T0,GENE_0215,15
S01,treated,batch1,P014,T0,GENE_0431,10
S01,treated,batch1,P014,T0,GENE_0017,5
S01,treated,batch1,P014,T0,GENE_0491,9
S01,treated,batch1,P014,T0,GENE_0235,3
S01,treated,batch1,P014,T0,GENE_0368,35
S01,treated,batch1,P014,T0,GENE_0173,5
S01,treated,batch1,P014,T0,GENE_0009,4
S01,treated,batch1,P014,T0,GENE_0311,6
S01,treated,batch1,P014,T0,GENE_0412,25
S01,treated,batch1,P014,T0,GENE_0257,3
S01,treated,batch1,P014,T0,GENE_0006,29
S01,treated,batch1,P014,T0,GENE_0357,6
S01,treated,batch1,P014,T0,GENE_0094,28
S01,treated,batch1,P014,T0,GENE_0199,1
S01,treated,batch1,P014,T0,GENE_0156,64
S01,treated,batch1,P014,T0,GENE_0396,1
S01,treated,batch1,P014,T0,GENE_0014,8
S01,treated,batch1,P014,T0,GENE_0392,84
S01,treated,batch1,P014,T0,GENE_0263,12
S01,treated,batch1,P014,T0,GENE_0325,12
S01,treated,batch1,P014,T0,GENE_0056,4
S01,treated,batch1,P014,T0,GENE_0139,31
S01,treated,batch1,P014,T0,GENE_0330,6
S01,treated,batch1,P014,T0,GENE_0131,38
S01,treated,batch1,P014,T0,GENE_0451,113
S01,treated,batch1,P014,T0,GENE_0332,10
S01,treated,batch1,P014,T0,GENE_0083,2
S01,treated,batch1,P014,T0,GENE_0494,8
S01,treated,batch1,P014,T0,GENE_0425,107
S01,treated,batch1,P014,T0,GENE_0041,3
S01,treated,batch1,P014,T0,GENE_0220,76
S01,treated,batch1,P014,T0,GENE_0211,65
S01,treated,batch1,P014,T0,GENE_0176,5
S01,treated,batch1,P014,T0,GENE_0418,23
S01,treated,batch1,P014,T0,GENE_0345,77
S01,treated,batch1,P014,T0,GENE_0193,10
S01,treated,batch1,P014,T0,GENE_0472,5
S01,treated,batch1,P014,T0,GENE_0393,12
S01,treated,batch1,P014,T0,GENE_0106,4
S01,treated,batch1,P014,T0,GENE_0121,9
S01,treated,batch1,P014,T0,GENE_0050,2
S01,treated,batch1,P014,T0,GENE_0024,17
S01,treated,batch1,P014,T0,GENE_0073,3
S01,treated,batch1,P014,T0,GENE_0266,16
S01,treated,batch1,P014,T0,GENE_0184,1
S01,treated,batch1,P014,T0,GENE_0124,8
S01,treated,batch1,P014,T0,GENE_0016,34
S01,treated,batch1,P014,T0,GENE_0214,0
S01,treated,batch1,P014,T0,GENE_0379,18
S01,treated,batch1,P014,T0,GENE_0082,44
S01,treated,batch1,P014,T0,GENE_0002,2
S01,treated,batch1,P014,T0,GENE_0369,53
S01,treated,batch1,P014,T0,GENE_0047,11
S01,treated,batch1,P014,T0,GENE_0338,1
S01,treated,batch1,P014,T0,GENE_0243,7
S01,treated,batch1,P014,T0,GENE_0180,23
S01,treated,batch1,P014,T0,GENE_0422,16
S01,treated,batch1,P014,T0,GENE_0223,9
S01,treated,batch1,P014,T0,GENE_0197,7
S01,treated,batch1,P014,T0,GENE_0342,16
S01,treated,batch1,P014,T0,GENE_0013,4
S01,treated,batch1,P014,T0,GENE_0434,12
S01,treated,batch1,P014,T0,GENE_0273,4
S01,treated,batch1,P014,T0,GENE_0227,5
S01,treated,batch1,P014,T0,GENE_0078,30
S01,treated,batch1,P014,T0,GENE_0362,41
S01,treated,batch1,P014,T0,GENE_0380,19
S01,treated,batch1,P014,T0,GENE_0271,2
S01,treated,batch1,P014,T0,GENE_0115,7
S01,treated,batch1,P014,T0,GENE_0441,54
S01,treated,batch1,P014,T0,GENE_0459,11
S01,treated,batch1,P014,T0,GENE_0077,93
S01,treated,batch1,P014,T0,GENE_0011,31
S01,treated,batch1,P014,T0,GENE_0063,6
S01,treated,batch1,P014,T0,GENE_0493,9
S01,treated,batch1,P014,T0,GENE_0226,13
S01,treated,batch1,P014,T0,GENE_0060,23
S01,treated,batch1,P014,T0,GENE_0181,43
S01,treated,batch1,P014,T0,GENE_0261,38
S01,treated,batch1,P014,T0,GENE_0040,6
S01,treated,batch1,P014,T0,GENE_0294,1
S01,treated,batch1,P014,T0,GENE_0092,2
S01,treated,batch1,P014,T0,GENE_0410,22
S01,treated,batch1,P014,T0,GENE_0485,1
S01,treated,batch1,P014,T0,GENE_0255,1
S01,treated,batch1,P014,T0,GENE_0192,19
S01,treated,batch1,P014,T0,GENE_0377,99
S01,treated,batch1,P014,T0,GENE_0042,10
S01,treated,batch1,P014,T0,GENE_0486,19
S01,treated,batch1,P014,T0,GENE_0290,16
S01,treated,batch1,P014,T0,GENE_0421,12
S01,treated,batch1,P014,T0,GENE_0295,36
S01,treated,batch1,P014,T0,GENE_0154,11
S01,treated,batch1,P014,T0,GENE_0072,13
S01,treated,batch1,P014,T0,GENE_0438,13
S01,treated,batch1,P014,T0,GENE_0287,11
S01,treated,batch1,P014,T0,GENE_0384,17
S01,treated,batch1,P014,T0,GENE_0414,11
S01,treated,batch1,P014,T0,GENE_0195,3
S01,treated,batch1,P014,T0,GENE_0103,19
S01,treated,batch1,P014,T0,GENE_0185,9
S01,treated,batch1,P014,T0,GENE_0171,14
S01,treated,batch1,P014,T0,GENE_0364,9
S01,treated,batch1,P014,T0,GENE_0458,50
S01,treated,batch1,P014,T0,GENE_0479,23
S01,treated,batch1,P014,T0,GENE_0352,3
S01,treated,batch1,P014,T0,GENE_0303,60
S01,treated,batch1,P014,T0,GENE_0034,58
S01,treated,batch1,P014,T0,GENE_0150,18
S01,treated,batch1,P014,T0,GENE_0015,11
S01,treated,batch1,P014,T0,GENE_0035,7
S01,treated,batch1,P014,T0,GENE_0339,6
S01,treated,batch1,P014,T0,GENE_0182,10
S01,treated,batch1,P014,T0,GENE_0175,10
S01,treated,batch1,P014,T0,GENE_0467,5
S01,treated,batch1,P014,T0,GENE_0314,18
S01,treated,batch1,P014,T0,GENE_0132,11
S01,treated,batch1,P014,T0,GENE_0107,16
S01,treated,batch1,P014,T0,GENE_0019,41
S01,treated,batch1,P014,T0,GENE_0403,17
S01,treated,batch1,P014,T0,GENE_0484,1
S01,treated,batch1,P014,T0,GENE_0483,4
S01,treated,batch1,P014,T0,GENE_0219,15
S01,treated,batch1,P014,T0,GENE_0471,3
S01,treated,batch1,P014,T0,GENE_0057,20
S01,treated,batch1,P014,T0,GENE_0170,82
S01,treated,batch1,P014,T0,GENE_0218,39
S01,treated,batch1,P014,T0,GENE_0430,11
S01,treated,batch1,P014,T0,GENE_0065,66
S01,treated,batch1,P014,T0,GENE_0337,15
S01,treated,batch1,P014,T0,GENE_0301,12
S01,treated,batch1,P014,T0,GENE_0336,4
S01,treated,batch1,P014,T0,GENE_0277,12
S01,treated,batch1,P014,T0,GENE_0191,9
S01,treated,batch1,P014,T0,GENE_0003,19
S01,treated,batch1,P014,T0,GENE_0474,20
S01,treated,batch1,P014,T0,GENE_0084,9
S01,treated,batch1,P014,T0,GENE_0085,23
S01,treated,batch1,P014,T0,GENE_0190,40
S01,treated,batch1,P014,T0,GENE_0194,20
S01,treated,batch1,P014,T0,GENE_0432,1
S01,treated,batch1,P014,T0,GENE_0167,1
S01,treated,batch1,P014,T0,GENE_0108,26
S01,treated,batch1,P014,T0,GENE_0080,3
S01,treated,batch1,P014,T0,GENE_0267,10
S01,treated,batch1,P014,T0,GENE_0102,6
S01,treated,batch1,P014,T0,GENE_0225,2
S01,treated,batch1,P014,T0,GENE_0444,22
S01,treated,batch1,P014,T0,GENE_0116,42
S01,treated,batch1,P014,T0,GENE_0296,1
S01,treated,batch1,P014,T0,GENE_0323,2
S01,treated,batch1,P014,T0,GENE_0143,2
S01,treated,batch1,P014,T0,GENE_0489,25
S01,treated,batch1,P014,T0,GENE_0307,3
S01,treated,batch1,P014,T0,GENE_0031,18
S01,treated,batch1,P014,T0,GENE_0285,20
S01,treated,batch1,P014,T0,GENE_0419,27
S01,treated,batch1,P014,T0,GENE_0487,14
S01,treated,batch1,P014,T0,GENE_0395,7
S01,treated,batch1,P014,T0,GENE_0053,43
S01,treated,batch1,P014,T0,GENE_0234,11
S01,treated,batch1,P014,T0,GENE_0097,11
S01,treated,batch1,P014,T0,GENE_0222,14
S01,treated,batch1,P014,T0,GENE_0464,5
S01,treated,batch1,P014,T0,GENE_0387,4
S01,treated,batch1,P014,T0,GENE_0374,8
S01,treated,batch1,P014,T0,GENE_0158,52
S01,treated,batch1,P014,T0,GENE_0118,4
S01,treated,batch1,P014,T0,GENE_0268,5
S01,treated,batch1,P014,T0,GENE_0275,48
S01,treated,batch1,P014,T0,GENE_0067,13
S01,treated,batch1,P014,T0,GENE_0358,3
S01,treated,batch1,P014,T0,GENE_0260,33
S01,treated,batch1,P014,T0,GENE_0026,5
S01,treated,batch1,P014,T0,GENE_0381,56
S01,treated,batch1,P014,T0,GENE_0095,28
S01,treated,batch1,P014,T0,GENE_0456,9
S01,treated,batch1,P014,T0,GENE_0463,83
S01,treated,batch1,P014,T0,GENE_0468,5
S01,treated,batch1,P014,T0,GENE_0448,30
S01,treated,batch1,P014,T0,GENE_0401,26
S01,treated,batch1,P014,T0,GENE_0242,29
S01,treated,batch1,P014,T0,GENE_0114,49
S01,treated,batch1,P014,T0,GENE_0331,8
S01,treated,batch1,P014,T0,GENE_0469,1
S01,treated,batch1,P014,T0,GENE_0324,18
S01,treated,batch1,P014,T0,GENE_0045,3
S01,treated,batch1,P014,T0,GENE_0074,81
S01,treated,batch1,P014,T0,GENE_0354,20
S01,treated,batch1,P014,T0,GENE_0397,11
S01,treated,batch1,P014,T0,GENE_0328,3
S01,treated,batch1,P014,T0,GENE_0136,3
S01,treated,batch1,P014,T0,GENE_0224,7
S01,treated,batch1,P014,T0,GENE_0391,38
S01,treated,batch1,P014,T0,GENE_0076,10
S01,treated,batch1,P014,T0,GENE_0361,13
S01,treated,batch1,P014,T0,GENE_0405,26
S01,treated,batch1,P014,T0,GENE_0329,44
S01,treated,batch1,P014,T0,GENE_0428,36
S01,treated,batch1,P014,T0,GENE_0280,34
S01,treated,batch1,P014,T0,GENE_0402,3
S01,treated,batch1,P014,T0,GENE_0246,2
S01,treated,batch1,P014,T0,GENE_0327,46
S01,treated,batch1,P014,T0,GENE_0087,8
S01,treated,batch1,P014,T0,GENE_0229,8
S01,treated,batch1,P014,T0,GENE_0258,56
S01,treated,batch1,P014,T0,GENE_0187,17
S01,treated,batch1,P014,T0,GENE_0141,18
S01,treated,batch1,P014,T0,GENE_0488,60
S01,treated,batch1,P014,T0,GENE_0450,7
S01,treated,batch1,P014,T0,GENE_0020,74
S01,treated,batch1,P014,T0,GENE_0426,11
S01,treated,batch1,P014,T0,GENE_0251,17
S01,treated,batch1,P014,T0,GENE_0238,72
S01,treated,batch1,P014,T0,GENE_0023,26
S01,treated,batch1,P014,T0,GENE_0371,17
S01,treated,batch1,P014,T0,GENE_0299,31
S01,treated,batch1,P014,T0,GENE_0300,13
S01,treated,batch1,P014,T0,GENE_0036,6
S01,treated,batch1,P014,T0,GENE_0499,6
S01,treated,batch1,P014,T0,GENE_0283,1
S01,treated,batch1,P014,T0,GENE_0382,97
S01,treated,batch1,P014,T0,GENE_0179,3
S01,treated,batch1,P014,T0,GENE_0113,12
S01,treated,batch1,P014,T0,GENE_0482,13
S01,treated,batch1,P014,T0,GENE_0446,10
S01,treated,batch1,P014,T0,GENE_0178,26
S01,treated,batch1,P014,T0,GENE_0375,15
S01,treated,batch1,P014,T0,GENE_0069,12
S01,treated,batch1,P014,T0,GENE_0404,11
S01,treated,batch1,P014,T0,GENE_0163,11
S01,treated,batch1,P014,T0,GENE_0442,11
S01,treated,batch1,P014,T0,GENE_0409,55
S01,treated,batch1,P014,T0,GENE_0046,18
S01,treated,batch1,P014,T0,GENE_0465,25
S01,treated,batch1,P014,T0,GENE_0161,26
S01,treated,batch1,P014,T0,GENE_0291,16
S01,treated,batch1,P014,T0,GENE_0424,22
S01,treated,batch1,P014,T0,GENE_0128,2
S01,treated,batch1,P014,T0,GENE_0408,17
S01,treated,batch1,P014,T0,GENE_0135,6
S01,treated,batch1,P014,T0,GENE_0236,3
S01,treated,batch1,P014,T0,GENE_0043,12
S01,treated,batch1,P014,T0,GENE_0174,33
S01,treated,batch1,P014,T0,GENE_0138,15
S01,treated,batch1,P014,T0,GENE_0166,34
S01,treated,batch1,P014,T0,GENE_0400,85
S01,treated,batch1,P014,T0,GENE_0415,20
S01,treated,batch1,P014,T0,GENE_0272,213
S01,treated,batch1,P014,T0,GENE_0204,28
S01,treated,batch1,P014,T0,GENE_0210,4
S01,treated,batch1,P014,T0,GENE_0353,9
S01,treated,batch1,P014,T0,GENE_0312,11
S01,treated,batch1,P014,T0,GENE_0198,47
S01,treated,batch1,P014,T0,GENE_0096,28
S01,treated,batch1,P014,T0,GENE_0093,10
S01,treated,batch1,P014,T0,GENE_0101,5
S01,treated,batch1,P014,T0,GENE_0269,20
S01,treated,batch1,P014,T0,GENE_0447,5
S01,treated,batch1,P014,T0,GENE_0059,4
S01,treated,batch1,P014,T0,GENE_0297,23
S01,treated,batch1,P014,T0,GENE_0153,77
S01,treated,batch1,P014,T0,GENE_0490,22
S01,treated,batch1,P014,T0,GENE_0433,2
S01,treated,batch1,P014,T0,GENE_0109,25
S01,treated,batch1,P014,T0,GENE_0110,30
S01,treated,batch1,P014,T0,GENE_0340,7
S01,treated,batch1,P014,T0,GENE_0039,13
S01,treated,batch1,P014,T0,GENE_0147,9
S01,treated,batch1,P014,T0,GENE_0466,7
S01,treated,batch1,P014,T0,GENE_0151,20
S01,treated,batch1,P014,T0,GENE_0292,4
S01,treated,batch1,P014,T0,GENE_0416,8
S01,treated,batch1,P014,T0,GENE_0435,3
S01,treated,batch1,P014,T0,GENE_0308,9
S01,treated,batch1,P014,T0,GENE_0159,31
S01,treated,batch1,P014,T0,GENE_0253,11
S01,treated,batch1,P014,T0,GENE_0341,93
S01,treated,batch1,P014,T0,GENE_0457,8
S01,treated,batch1,P014,T0,GENE_0333,22
S01,treated,batch1,P014,T0,GENE_0316,30
S01,treated,batch1,P014,T0,GENE_0028,5
S01,treated,batch1,P014,T0,GENE_0319,2
S01,treated,batch1,P014,T0,GENE_0278,2
S01,treated,batch1,P014,T0,GENE_0370,52
S01,treated,batch1,P014,T0,GENE_0217,14
S01,treated,batch1,P014,T0,GENE_0091,148
S01,treated,batch1,P014,T0,GENE_0086,5
S01,treated,batch1,P014,T0,GENE_0343,19
S02,control,batch1,P007,T0,GENE_0356,3
S02,control,batch1,P007,T0,GENE_0233,8
S02,control,batch1,P007,T0,GENE_0232,70
S02,control,batch1,P007,T0,GENE_0160,24
S02,control,batch1,P007,T0,GENE_0049,4
S02,control,batch1,P007,T0,GENE_0245,29
S02,control,batch1,P007,T0,GENE_0130,38
S02,control,batch1,P007,T0,GENE_0477,18
S02,control,batch1,P007,T0,GENE_0054,9
S02,control,batch1,P007,T0,GENE_0427,8
S02,control,batch1,P007,T0,GENE_0349,26
S02,control,batch1,P007,T0,GENE_0018,19
S02,control,batch1,P007,T0,GENE_0207,43
S02,control,batch1,P007,T0,GENE_0282,23
S02,control,batch1,P007,T0,GENE_0298,22
S02,control,batch1,P007,T0,GENE_0004,8
S02,control,batch1,P007,T0,GENE_0241,46
S02,control,batch1,P007,T0,GENE_0265,10
S02,control,batch1,P007,T0,GENE_0249,69
S02,control,batch1,P007,T0,GENE_0126,1
S02,control,batch1,P007,T0,GENE_0385,67
S02,control,batch1,P007,T0,GENE_0310,10
S02,control,batch1,P007,T0,GENE_0276,4
S02,control,batch1,P007,T0,GENE_0070,3
S02,control,batch1,P007,T0,GENE_0306,9
S02,control,batch1,P007,T0,GENE_0201,15
S02,control,batch1,P007,T0,GENE_0075,22
S02,control,batch1,P007,T0,GENE_0239,0
S02,control,batch1,P007,T0,GENE_0172,10
S02,control,batch1,P007,T0,GENE_0417,113
S02,control,batch1,P007,T0,GENE_0318,66
S02,control,batch1,P007,T0,GENE_0029,24
S02,control,batch1,P007,T0,GENE_0475,15
S02,control,batch1,P007,T0,GENE_0071,10
S02,control,batch1,P007,T0,GENE_0347,28
S02,control,batch1,P007,T0,GENE_0350,5
S02,control,batch1,P007,T0,GENE_0033,9
S02,control,batch1,P007,T0,GENE_0021,2
S02,control,batch1,P007,T0,GENE_0437,18
S02,control,batch1,P007,T0,GENE_0037,17
S02,control,batch1,P007,T0,GENE_0452,8
S02,control,batch1,P007,T0,GENE_0492,62
S02,control,batch1,P007,T0,GENE_0423,2
S02,control,batch1,P007,T0,GENE_0001,2
S02,control,batch1,P007,T0,GENE_0309,12
S02,control,batch1,P007,T0,GENE_0317,41
S02,control,batch1,P007,T0,GENE_0044,59
S02,control,batch1,P007,T0,GENE_0209,7
S02,control,batch1,P007,T0,GENE_0228,38
S02,control,batch1,P007,T0,GENE_0030,13
S02,control,batch1,P007,T0,GENE_0058,18
S02,control,batch1,P007,T0,GENE_0164,31
S02,control,batch1,P007,T0,GENE_0022,23
S02,control,batch1,P007,T0,GENE_0038,1
S02,control,batch1,P007,T0,GENE_0372,62
S02,control,batch1,P007,T0,GENE_0100,50
S02,control,batch1,P007,T0,GENE_0119,15
S02,control,batch1,P007,T0,GENE_0146,17
S02,control,batch1,P007,T0,GENE_0148,26
S02,control,batch1,P007,T0,GENE_0322,12
